Month,Year,Type,Event,Description,Resources
Mar,1990,Other Provocation,Infiltration and Incursion,"A 4th North Korean inflitration tunnel was discovered in the DMZ at hills 80 miles northeast of Seoul. The tunnel was around 1.25 miles long and extended 4,000 feet into South Korea across the DMZ.",https://fas.org/sgp/crs/row/RL30004.pdf
May,1990,Missile Provocation,Medium-range Ballistic Missile Launch,North Korea attempted to launch a Nodong-1 missile but it reportedly exploded on the launch pad. The exact day of the launch is unknown although several sources cite the month of May for the test. For the purposes of this database the test date was written as May 1.,http://www.tongilnews.com/news/articleView.html?idxno=4044
Jun,1990,Missile Provocation,Short-range Ballistic Missile Launch,North Korea carried out a successful launch of a Hwasong-6 missile from its Musudan-ri (Donghae) satellite launching ground and test site. The exact day of the launch is unknown although several sources cite the month of June for the test. For the purposes of this database the test date was written as June 1.,http://www.nonproliferation.org/chronology-of-north-koreas-missile-trade-and-developments-1990-1991/
Jul,1991,Missile Provocation,Joint Missile Test with China,"Norea Korea and China reportedly tested a prototype of a medium-range ballistic missile at Yinchuan province in China. This prototype utilized multiple independently targetable reentry vehicle (MIRV) technology. Since 1988, North Korea had sent 90 military officials and weapons specialists to Yinchuan to learn nuclear testing and missile flight technology.",http://www.seoul.co.kr/news/newsView.php?id=19911207001001
Jul,1991,Missile Provocation,Short-range Ballistic Missile Launch,"North Korea launched a Hwasong-6 (Scud-C) short-range ballistic missile via a transporter erector launcher (TEL), from a Korean People’s Army (KPA) base in Gangwon province. The missle flew about 500 km northeast and landed in the East Sea. The exact day of the launch is unknown although several sources cite the month of July for the test. For the purposes of this database the test date was written as July 1.",http://www.nonproliferation.org/chronology-of-north-koreas-missile-trade-and-developments-1990-1991/
May,1992,Other Provocation,Infiltration and Incursion,"Three North Korean infiltrators crossed into South Korea disguised in ROK military uniforms and were shot dead south of the DMZ at Chorwon County, Gangwon province. Three South Korean soldiers were also wounded.",https://fas.org/sgp/crs/row/RL30004.pdf
Jun,1992,Missile Provocation,Medium-range Ballistic Missile Launch,Unnamed Japanese military sources indicated that North Korea made its 2nd failed attempt at launching the Nodong-1 missile. There is also the possibility that the test was outright cancelled instead.,http://www.nonproliferation.org/chronology-of-north-koreas-missile-trade-and-developments-1992-1993/
Mar,1993,Other,Withdrawal from NPT,"North Korea announced its intention to withdraw from the NPT, declaring that the NPT and IAEA were ""being appropriated to realize the impure U.S. political goal of eliminating"" the North Korean system.",http://nkinfo.unikorea.go.kr/nkp/term/viewNkKnwldgDicary.do?pageIndex=22&koreanChrctr=&dicaryId=213
May,1993,Missile Provocation,Medium-range Ballistic Missile Launch,North Korea test-launched Nodong-1 missile and also fired at least 2 Hwasongs-5 and 6 missiles. The missiles were fired at a target buoy in the direction of Japan off the coastal city of Wonsan into the East Sea.,http://www.archives.go.kr/next/search/listSubjectDescription.do?id=002943&pageFlag=
May,1993,Missile Provocation,Medium-range Ballistic Missile Launch,North Korea test-launched Nodong-1 missile and also fired at least 2 Hwasongs-5 and 6 missiles. The missiles were fired at a target buoy in the direction of Japan off the coastal city of Wonsan into the East Sea.,http://www.archives.go.kr/next/search/listSubjectDescription.do?id=002943&pageFlag=
May,1994,Missile Provocation,Anti-Ship Cruise Missile Launch,North Korea tested an anti-ship cruise missile modelled after the Chinese HY-2 Silkworm missile.,http://www.nytimes.com/1994/06/01/world/north-korea-tests-cruise-missile-designed-to-sink-ships.html
Jun,1994,Missile Provocation,Anti-Ship Cruise Missile Launch,North Korea conducted a second test of an anti-ship cruise missile that flew into the East Sea.,http://www.dod.gov/pubs/prolif/ne_asia.html
Dec,1994,Other Provocation,U.S. Helicopter Shot Down,"A U.S. Army OH-58 helicopter accidently strayed 6 miles North of the military demarcation line (MDL) and was shot down by DPRK forces. One crew member was killed in the downing and the other was held for thirteen days and released on December 30, 1994.",http://www.nytimes.com/1994/12/31/world/freed-pilot-tells-how-he-was-downed-by-north-koreans.html
Mar,1995,Missile Provocation,Anti-Ship Cruise Missile Launch,North Korea conducted a third test of an anti-ship cruise missile claimed to be part of normal training exercises.,http://www.dod.gov/pubs/prolif/ne_asia.html
Aug,1995,Other Provocation,Detainment of South Korean Vessel,"North Korea captured a South Korean ship, named the Samsun Venus, and held the vessel and its 21-man crew near the east coast port of Chongjin. The ship and crew were released August 13, 1995.",http://articles.latimes.com/1995-08-13/news/mn-34749_1_north-korea
Oct,1995,Other Provocation,Infiltration and Incursion,Two North Korean agents were caught south of the DMZ at the Imjin River - one was shot and the other escaped.,http://www.cfr.org/content/publications/attachments/Korean_Peninsula_Clashes.pdf
Oct,1995,Other Provocation,Infiltration and Incursion,"Two North Korean agents were intercepted 100 miles south of Seoul in Buyeo county.  One of the infiltrators was killed and the other was captured alive. The North Korean agent stated that his mission was to contact underground cells, anti-government dissidents, and politicians sympathetic to the DPRK in South Korea.",http://www.cfr.org/content/publications/attachments/Korean_Peninsula_Clashes.pdf
Apr,1996,Other Provocation,Territorial Provocation (Ground),"For 3 consecutive days on 3 occasions, a combined total of several hundred North Korean troops crossed the military demarcation line (MDL) into the joint security area after Pyongyang’s unilateral declaration that it would no longer abide by armistice provisions concerning the DMZ.",http://www.nytimes.com/1996/04/08/world/armed-north-korea-troops-again-violate-the-dmz.html
Apr,1996,Other Provocation,Territorial Provocation (Ground),"For 3 consecutive days on 3 occasions, a combined total of several hundred North Korean troops crossed the military demarcation line (MDL) into the joint security area after Pyongyang’s unilateral declaration that it would no longer abide by armistice provisions concerning the DMZ.",http://www.nytimes.com/1996/04/08/world/armed-north-korea-troops-again-violate-the-dmz.html
Apr,1996,Other Provocation,Territorial Provocation (Ground),"For 3 consecutive days on 3 occasions, a combined total of several hundred North Korean troops crossed the military demarcation line (MDL) into the joint security area after Pyongyang’s unilateral declaration that it would no longer abide by armistice provisions concerning the DMZ.",http://www.nytimes.com/1996/04/08/world/armed-north-korea-troops-again-violate-the-dmz.html
