Year,Month,Prov,Nego
1990,Jan,0,1
1990,Feb,0,0
1990,Mar,1,0
1990,Apr,0,1
1990,May,1,1
1990,Jun,1,0
1990,Jul,0,0
1990,Aug,0,0
1990,Sep,0,0
1990,Oct,0,0
1990,Nov,0,0
1990,Dec,0,0
1991,Jan,0,0
1991,Feb,0,0
1991,Mar,0,0
1991,Apr,0,0
1991,May,0,0
1991,Jun,0,0
1991,Jul,2,0
1991,Aug,0,0
1991,Sep,0,0
1991,Oct,0,0
1991,Nov,0,0
1991,Dec,0,0
1992,Jan,0,2
1992,Feb,0,0
1992,Mar,0,0
1992,Apr,0,0
1992,May,1,0
1992,Jun,1,0
1992,Jul,0,0
1992,Aug,0,0
1992,Sep,0,0
1992,Oct,0,0
1992,Nov,0,1
1992,Dec,0,0
1993,Jan,0,1
1993,Feb,0,1
1993,Mar,0,1
1993,Apr,0,0
1993,May,1,1
1993,Jun,0,1
1993,Jul,0,1
1993,Aug,0,1
1993,Sep,0,2
1993,Oct,0,0
1993,Nov,0,0
1993,Dec,0,1
1994,Jan,0,2
1994,Feb,0,2
1994,Mar,0,0
1994,Apr,0,1
1994,May,1,3
1994,Jun,1,1
1994,Jul,0,2
1994,Aug,0,1
1994,Sep,0,2
1994,Oct,0,0
1994,Nov,0,3
1994,Dec,1,1
1995,Jan,0,3
1995,Feb,0,0
1995,Mar,1,1
1995,Apr,0,2
1995,May,0,1
1995,Jun,0,3
1995,Jul,0,0
1995,Aug,1,1
1995,Sep,0,4
1995,Oct,2,2
1995,Nov,0,0
1995,Dec,0,1
1996,Jan,0,0
1996,Feb,0,0
1996,Mar,0,1
1996,Apr,3,2
1996,May,0,0
1996,Jun,0,1
1996,Jul,0,2
1996,Aug,0,1
1996,Sep,6,1
1996,Oct,0,0
1996,Nov,1,1
1996,Dec,0,1
1997,Jan,0,2
1997,Feb,0,0
1997,Mar,0,3
1997,Apr,1,2
1997,May,1,1
1997,Jun,1,3
1997,Jul,1,2
1997,Aug,0,2
1997,Sep,0,3
1997,Oct,0,0
1997,Nov,0,3
1997,Dec,0,2
1998,Jan,0,1
1998,Feb,0,0
1998,Mar,0,3
1998,Apr,0,0
1998,May,0,1
1998,Jun,1,1
1998,Jul,0,0
1998,Aug,1,1
1998,Sep,0,1
1998,Oct,0,3
1998,Nov,0,1
1998,Dec,1,2
1999,Jan,0,5
1999,Feb,0,2
1999,Mar,1,4
1999,Apr,0,3
1999,May,0,2
1999,Jun,1,1
1999,Jul,0,0
1999,Aug,0,1
1999,Sep,0,2
1999,Oct,0,0
1999,Nov,0,1
1999,Dec,0,0
2000,Jan,0,1
2000,Feb,0,1
2000,Mar,0,1
2000,Apr,0,1
2000,May,0,2
2000,Jun,0,0
2000,Jul,0,3
2000,Aug,0,0
2000,Sep,0,1
2000,Oct,0,3
2000,Nov,0,1
2000,Dec,0,1
2001,Jan,0,0
2001,Feb,0,0
2001,Mar,0,1
2001,Apr,0,0
2001,May,0,1
2001,Jun,0,1
2001,Jul,0,1
2001,Aug,0,1
2001,Sep,2,2
2001,Oct,0,1
2001,Nov,1,0
2001,Dec,1,1
2002,Jan,0,0
2002,Feb,0,0
2002,Mar,0,1
2002,Apr,0,0
2002,May,0,0
2002,Jun,1,1
2002,Jul,0,1
2002,Aug,0,2
2002,Sep,0,0
2002,Oct,0,1
2002,Nov,0,0
2002,Dec,0,0
2003,Jan,0,0
2003,Feb,2,0
2003,Mar,2,0
2003,Apr,0,1
2003,May,0,0
2003,Jun,1,0
2003,Jul,1,1
2003,Aug,2,1
2003,Sep,0,0
2003,Oct,2,0
2003,Nov,1,0
2003,Dec,0,0
2004,Jan,0,0
2004,Feb,0,1
2004,Mar,0,0
2004,Apr,0,0
2004,May,0,2
2004,Jun,0,2
2004,Jul,0,1
2004,Aug,0,0
2004,Sep,0,0
2004,Oct,0,0
2004,Nov,1,2
2004,Dec,0,1
2005,Jan,0,0
2005,Feb,0,0
2005,Mar,0,0
2005,Apr,0,0
2005,May,1,1
2005,Jun,0,1
2005,Jul,0,2
2005,Aug,0,0
2005,Sep,0,1
2005,Oct,0,1
2005,Nov,0,1
2005,Dec,0,0
2006,Jan,0,1
2006,Feb,0,0
2006,Mar,1,1
2006,Apr,0,0
2006,May,0,0
2006,Jun,0,0
2006,Jul,1,0
2006,Aug,0,0
2006,Sep,0,0
2006,Oct,1,1
2006,Nov,0,0
2006,Dec,0,1
2007,Jan,0,1
2007,Feb,0,1
2007,Mar,0,2
2007,Apr,0,0
2007,May,1,0
2007,Jun,2,1
2007,Jul,0,1
2007,Aug,0,0
2007,Sep,0,3
2007,Oct,0,1
2007,Nov,0,0
2007,Dec,0,1
2008,Jan,0,1
2008,Feb,0,1
2008,Mar,1,1
2008,Apr,0,2
2008,May,1,2
2008,Jun,0,1
2008,Jul,0,3
2008,Aug,0,2
2008,Sep,0,0
2008,Oct,1,1
2008,Nov,0,0
2008,Dec,0,1
2009,Jan,0,0
2009,Feb,0,0
2009,Mar,0,0
2009,Apr,1,0
2009,May,4,0
2009,Jun,0,0
2009,Jul,3,0
2009,Aug,0,0
2009,Sep,0,0
2009,Oct,1,0
2009,Nov,1,0
2009,Dec,0,1
2010,Jan,3,0
2010,Feb,0,0
2010,Mar,1,0
2010,Apr,0,0
2010,May,0,0
2010,Jun,0,0
2010,Jul,0,0
2010,Aug,1,0
2010,Sep,0,0
2010,Oct,0,0
2010,Nov,1,0
2010,Dec,0,0
2011,Jan,0,0
2011,Feb,0,0
2011,Mar,0,0
2011,Apr,0,0
2011,May,0,0
2011,Jun,1,0
2011,Jul,0,1
2011,Aug,0,0
2011,Sep,0,0
2011,Oct,0,1
2011,Nov,0,0
2011,Dec,0,0
2012,Jan,0,0
2012,Feb,0,2
2012,Mar,1,0
2012,Apr,1,0
2012,May,0,0
2012,Jun,0,0
2012,Jul,0,0
2012,Aug,0,0
2012,Sep,0,0
2012,Oct,0,0
2012,Nov,0,0
2012,Dec,1,0
2013,Jan,0,0
2013,Feb,1,0
2013,Mar,1,0
2013,Apr,0,0
2013,May,3,0
2013,Jun,0,0
2013,Jul,0,0
2013,Aug,0,0
2013,Sep,0,0
2013,Oct,0,0
2013,Nov,0,0
2013,Dec,0,0
2014,Jan,0,0
2014,Feb,1,0
2014,Mar,7,0
2014,Apr,0,0
2014,May,1,0
2014,Jun,2,0
2014,Jul,4,0
2014,Aug,1,0
2014,Sep,2,0
2014,Oct,3,0
2014,Nov,0,0
2014,Dec,0,0
2015,Jan,0,0
2015,Feb,2,0
2015,Mar,2,0
2015,Apr,2,0
2015,May,1,0
2015,Jun,1,0
2015,Jul,0,0
2015,Aug,2,0
2015,Sep,0,0
2015,Oct,0,0
2015,Nov,1,0
2015,Dec,1,0
2016,Jan,1,0
2016,Feb,1,0
2016,Mar,5,0
2016,Apr,5,0
2016,May,1,0
2016,Jun,1,0
2016,Jul,2,0
2016,Aug,2,0
2016,Sep,2,0
2016,Oct,2,0
2016,Nov,0,0
2016,Dec,0,0
2017,Jan,0,0
2017,Feb,1,0
2017,Mar,2,0
2017,Apr,3,0
2017,May,4,0
2017,Jun,1,0
2017,Jul,2,0
2017,Aug,2,0
2017,Sep,2,0
